Hora: 10:00, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 14:30, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 14:35, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 14:40, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 14:45, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 14:50, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 14:55, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 15:00, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 15:05, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 15:10, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 15:15, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 15:20, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 15:25, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 15:30, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 15:35, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 15:40, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 15:45, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 15:50, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 15:55, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 16:00, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 16:05, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 16:10, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 16:15, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 16:20, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 16:25, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 16:30, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 16:35, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 16:40, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 16:45, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 16:50, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 16:55, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 17:00, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 17:05, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 17:10, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 17:15, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 17:20, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 17:25, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 17:30, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 17:35, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 17:40, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 17:45, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 17:50, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 17:55, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 18:00, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 18:05, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 18:10, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 18:15, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 18:20, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 18:25, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 18:30, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 18:35, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 18:40, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 18:45, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 18:50, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 18:55, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 19:00, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 19:05, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 19:10, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 19:15, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 19:20, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 19:25, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 19:30, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 19:35, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 19:40, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 19:45, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 19:50, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 19:55, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 20:00, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 20:05, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 20:10, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 20:15, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 20:20, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 20:25, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 20:30, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 20:35, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 20:40, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 20:45, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 20:50, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 20:55, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 21:00, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 21:05, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 21:10, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 21:15, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 21:20, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 21:25, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 21:30, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 21:35, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 21:40, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 21:45, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 21:50, Tipo de señal: Compra, Activo: CRYPTO IDX
Hora: 21:55, Tipo de señal: Venta, Activo: CRYPTO IDX
Hora: 22:00, Tipo de señal: Compra, Activo: CRYPTO IDX
